count	 id	 x	 y	 theta	 theta_deg
10880	 3	 -2.587830	 -0.094621	 -1.792964	 -102.729283
10880	 4	 -2.477680	 -0.055667	 -1.970253	 -112.887201
11520	 0	 -2.312380	 0.260147	 -1.435507	 -82.248516
11520	 1	 -2.458119	 -0.197859	 -1.741532	 -99.782432
11520	 2	 -2.451723	 0.084455	 -1.913048	 -109.609571
11520	 3	 -2.456856	 -0.078573	 -1.726506	 -98.921507
11520	 4	 -2.371393	 -0.009849	 -2.037768	 -116.755486
12160	 0	 -2.312380	 0.260147	 -1.435507	 -82.248516
12160	 1	 -2.458119	 -0.197859	 -1.741532	 -99.782432
12160	 2	 -2.451723	 0.084455	 -1.913048	 -109.609571
12160	 3	 -2.456856	 -0.078573	 -1.726506	 -98.921507
12160	 4	 -2.371393	 -0.009849	 -2.037768	 -116.755486
12800	 0	 -2.176666	 0.222911	 -1.173331	 -67.226922
12800	 1	 -2.342608	 -0.163016	 -1.966590	 -112.677289
12800	 2	 -2.359276	 0.117844	 -1.865750	 -106.899584
12800	 3	 -2.340040	 -0.043099	 -1.940733	 -111.195794
12800	 4	 -2.262566	 0.044445	 -2.029434	 -116.277987
13440	 0	 -2.176666	 0.222911	 -1.173331	 -67.226922
13440	 1	 -2.342608	 -0.163016	 -1.966590	 -112.677289
13440	 2	 -2.359276	 0.117844	 -1.865750	 -106.899584
13440	 3	 -2.340040	 -0.043099	 -1.940733	 -111.195794
13440	 4	 -2.262566	 0.044445	 -2.029434	 -116.277987
14080	 0	 -2.176666	 0.222911	 -1.173331	 -67.226922
14080	 1	 -2.342608	 -0.163016	 -1.966590	 -112.677289
14080	 2	 -2.359276	 0.117844	 -1.865750	 -106.899584
14080	 3	 -2.340040	 -0.043099	 -1.940733	 -111.195794
14080	 4	 -2.262566	 0.044445	 -2.029434	 -116.277987
14720	 0	 -2.073495	 0.157871	 -0.715745	 -41.009170
14720	 1	 -2.236655	 -0.116410	 -2.022882	 -115.902600
14720	 2	 -2.263150	 0.144783	 -1.640178	 -93.975275
14720	 3	 -2.227577	 0.003283	 -2.052461	 -117.597361
14720	 4	 -2.148123	 0.094175	 -1.934321	 -110.828425
15360	 0	 -2.073495	 0.157871	 -0.715745	 -41.009170
15360	 1	 -2.236655	 -0.116410	 -2.022882	 -115.902600
15360	 2	 -2.263150	 0.144783	 -1.640178	 -93.975275
15360	 3	 -2.227577	 0.003283	 -2.052461	 -117.597361
15360	 4	 -2.148123	 0.094175	 -1.934321	 -110.828425
16000	 0	 -2.010889	 0.094724	 -0.711768	 -40.781328
16000	 1	 -2.132233	 -0.062643	 -2.033718	 -116.523464
16000	 2	 -2.152630	 0.151980	 -1.619076	 -92.766222
16000	 3	 -2.134825	 0.027274	 -0.981463	 -56.233671
16000	 4	 -2.083425	 0.081136	 -1.058626	 -60.654812
16640	 0	 -2.010889	 0.094724	 -0.711768	 -40.781328
16640	 1	 -2.132233	 -0.062643	 -2.033718	 -116.523464
16640	 2	 -2.152630	 0.151980	 -1.619076	 -92.766222
16640	 3	 -2.134825	 0.027274	 -0.981463	 -56.233671
16640	 4	 -2.083425	 0.081136	 -1.058626	 -60.654812
17280	 0	 -2.010889	 0.094724	 -0.711768	 -40.781328
17280	 1	 -2.132233	 -0.062643	 -2.033718	 -116.523464
17280	 2	 -2.152630	 0.151980	 -1.619076	 -92.766222
17280	 3	 -2.134825	 0.027274	 -0.981463	 -56.233671
17280	 4	 -2.083425	 0.081136	 -1.058626	 -60.654812
17920	 0	 -1.945652	 0.019834	 -0.880864	 -50.469815
17920	 1	 -2.019285	 -0.073462	 -1.341006	 -76.833986
17920	 2	 -2.031140	 0.143145	 -1.370015	 -78.496086
17920	 3	 -2.108194	 -0.005922	 -0.567813	 -32.533308
17920	 4	 -2.038894	 0.019194	 -0.288957	 -16.556037
18560	 0	 -1.945652	 0.019834	 -0.880864	 -50.469815
18560	 1	 -2.019285	 -0.073462	 -1.341006	 -76.833986
18560	 2	 -2.031140	 0.143145	 -1.370015	 -78.496086
18560	 3	 -2.108194	 -0.005922	 -0.567813	 -32.533308
18560	 4	 -2.038894	 0.019194	 -0.288957	 -16.556037
19200	 0	 -1.828943	 -0.026105	 -1.094498	 -62.710139
19200	 1	 -1.923962	 -0.110079	 -1.170516	 -67.065621
19200	 2	 -1.893415	 0.093357	 -1.086690	 -62.262775
19200	 3	 -2.073831	 -0.087199	 -0.552468	 -31.654081
19200	 4	 -2.006038	 -0.057786	 -0.216581	 -12.409153
19840	 0	 -1.828943	 -0.026105	 -1.094498	 -62.710139
19840	 1	 -1.923962	 -0.110079	 -1.170516	 -67.065621
19840	 2	 -1.893415	 0.093357	 -1.086690	 -62.262775
19840	 3	 -2.073831	 -0.087199	 -0.552468	 -31.654081
19840	 4	 -2.006038	 -0.057786	 -0.216581	 -12.409153
20480	 0	 -1.828943	 -0.026105	 -1.094498	 -62.710139
20480	 1	 -1.923962	 -0.110079	 -1.170516	 -67.065621
20480	 2	 -1.893415	 0.093357	 -1.086690	 -62.262775
20480	 3	 -2.073831	 -0.087199	 -0.552468	 -31.654081
20480	 4	 -2.006038	 -0.057786	 -0.216581	 -12.409153
21120	 0	 -1.721469	 -0.088314	 -0.984015	 -56.379896
21120	 1	 -1.829365	 -0.149868	 -1.195195	 -68.479641
21120	 2	 -1.779281	 0.013226	 -0.766488	 -43.916532
21120	 3	 -2.017802	 -0.152895	 -0.718853	 -41.187260
21120	 4	 -1.957420	 -0.109671	 -0.851336	 -48.777956
21760	 0	 -1.721469	 -0.088314	 -0.984015	 -56.379896
21760	 1	 -1.829365	 -0.149868	 -1.195195	 -68.479641
21760	 2	 -1.779281	 0.013226	 -0.766488	 -43.916532
21760	 3	 -2.017802	 -0.152895	 -0.718853	 -41.187260
21760	 4	 -1.957420	 -0.109671	 -0.851336	 -48.777956
22400	 0	 -1.635006	 -0.137376	 -1.018185	 -58.337732
22400	 1	 -1.730177	 -0.212193	 -0.933795	 -53.502501
22400	 2	 -1.718006	 -0.092894	 -0.259425	 -14.863986
22400	 3	 -1.953910	 -0.239314	 -0.888029	 -50.880309
22400	 4	 -1.863593	 -0.158589	 -1.218576	 -69.819252
23040	 0	 -1.635006	 -0.137376	 -1.018185	 -58.337732
23040	 1	 -1.730177	 -0.212193	 -0.933795	 -53.502501
23040	 2	 -1.718006	 -0.092894	 -0.259425	 -14.863986
23040	 3	 -1.953910	 -0.239314	 -0.888029	 -50.880309
23040	 4	 -1.863593	 -0.158589	 -1.218576	 -69.819252
23680	 0	 -1.635006	 -0.137376	 -1.018185	 -58.337732
23680	 1	 -1.730177	 -0.212193	 -0.933795	 -53.502501
23680	 2	 -1.718006	 -0.092894	 -0.259425	 -14.863986
23680	 3	 -1.953910	 -0.239314	 -0.888029	 -50.880309
23680	 4	 -1.863593	 -0.158589	 -1.218576	 -69.819252
24320	 0	 -1.552519	 -0.194907	 -0.989511	 -56.694832
24320	 1	 -1.630018	 -0.287805	 -0.923741	 -52.926480
24320	 2	 -1.650814	 -0.193055	 -1.131479	 -64.828993
24320	 3	 -1.831801	 -0.293037	 -1.352002	 -77.464003
24320	 4	 -1.759720	 -0.197645	 -1.352559	 -77.495921
24960	 0	 -1.552519	 -0.194907	 -0.989511	 -56.694832
24960	 1	 -1.630018	 -0.287805	 -0.923741	 -52.926480
24960	 2	 -1.650814	 -0.193055	 -1.131479	 -64.828993
24960	 3	 -1.831801	 -0.293037	 -1.352002	 -77.464003
24960	 4	 -1.759720	 -0.197645	 -1.352559	 -77.495921
25600	 0	 -1.458992	 -0.241015	 -1.184007	 -67.838600
25600	 1	 -1.528421	 -0.346317	 -1.445019	 -82.793518
25600	 2	 -1.546239	 -0.210050	 -1.646108	 -94.315036
25600	 3	 -1.709157	 -0.308008	 -1.515871	 -86.853007
25600	 4	 -1.633833	 -0.213841	 -1.542346	 -88.369930
26240	 0	 -1.458992	 -0.241015	 -1.184007	 -67.838600
26240	 1	 -1.528421	 -0.346317	 -1.445019	 -82.793518
26240	 2	 -1.546239	 -0.210050	 -1.646108	 -94.315036
26240	 3	 -1.709157	 -0.308008	 -1.515871	 -86.853007
26240	 4	 -1.633833	 -0.213841	 -1.542346	 -88.369930
26880	 0	 -1.458992	 -0.241015	 -1.184007	 -67.838600
26880	 1	 -1.528421	 -0.346317	 -1.445019	 -82.793518
26880	 2	 -1.546239	 -0.210050	 -1.646108	 -94.315036
26880	 3	 -1.709157	 -0.308008	 -1.515871	 -86.853007
26880	 4	 -1.633833	 -0.213841	 -1.542346	 -88.369930
27520	 0	 -1.335671	 -0.275745	 -1.334161	 -76.441776
27520	 1	 -1.399695	 -0.376563	 -1.335142	 -76.497982
27520	 2	 -1.429970	 -0.188791	 -1.675283	 -95.986636
27520	 3	 -1.590603	 -0.311192	 -1.544232	 -88.477963
27520	 4	 -1.528883	 -0.223204	 -1.507212	 -86.356903
28160	 0	 -1.335671	 -0.275745	 -1.334161	 -76.441776
28160	 1	 -1.399695	 -0.376563	 -1.335142	 -76.497982
28160	 2	 -1.429970	 -0.188791	 -1.675283	 -95.986636
28160	 3	 -1.590603	 -0.311192	 -1.544232	 -88.477963
28160	 4	 -1.528883	 -0.223204	 -1.507212	 -86.356903
28800	 0	 -1.202985	 -0.279836	 -1.885775	 -108.046933
28800	 1	 -1.268059	 -0.366397	 -2.042342	 -117.017588
28800	 2	 -1.299945	 -0.197355	 -1.357820	 -77.797350
28800	 3	 -1.470956	 -0.313495	 -1.566539	 -89.756083
28800	 4	 -1.417889	 -0.231927	 -1.502681	 -86.097287
29440	 0	 -1.202985	 -0.279836	 -1.885775	 -108.046933
29440	 1	 -1.268059	 -0.366397	 -2.042342	 -117.017588
29440	 2	 -1.299945	 -0.197355	 -1.357820	 -77.797350
29440	 3	 -1.470956	 -0.313495	 -1.566539	 -89.756083
29440	 4	 -1.417889	 -0.231927	 -1.502681	 -86.097287
30080	 0	 -1.202985	 -0.279836	 -1.885775	 -108.046933
30080	 1	 -1.268059	 -0.366397	 -2.042342	 -117.017588
30080	 2	 -1.299945	 -0.197355	 -1.357820	 -77.797350
30080	 3	 -1.470956	 -0.313495	 -1.566539	 -89.756083
