1,1600,0.849503,0.890429,0.018238,0.013796,0.000009
2,3200,0.846745,0.890962,0.008370,0.006314,0.000006
3,4800,0.775079,0.891444,0.008357,0.005774,0.000005
4,6400,0.697354,0.891460,0.006641,0.004129,0.000005
5,8000,0.933483,0.881817,0.436045,0.358935,0.000049
6,9600,0.999702,0.878999,0.724644,0.636772,0.000107
7,11200,0.999824,0.879208,0.771987,0.678618,0.000152
8,12800,0.999709,0.879364,0.778464,0.684353,0.000187
9,14400,0.933387,0.878394,0.728572,0.597342,0.000207
10,16000,0.950199,0.870666,0.506072,0.418676,0.000213
11,17600,0.993121,0.859729,0.549767,0.469399,0.000220
12,19200,0.999454,0.851902,0.631409,0.537605,0.000230
13,20800,0.999823,0.850381,0.735218,0.625105,0.000242
14,22400,0.999893,0.849884,0.749094,0.636575,0.000253
15,24000,0.999719,0.849290,0.747012,0.634252,0.000263
16,25600,0.999693,0.848482,0.753554,0.639180,0.000271
17,27200,0.999910,0.847700,0.754568,0.639590,0.000279
18,28800,0.962082,0.846265,0.726139,0.591205,0.000284
19,30400,0.779453,0.844168,0.575022,0.378358,0.000281
20,32000,0.945391,0.841484,0.586073,0.466239,0.000282
21,33600,0.999674,0.837699,0.677001,0.566938,0.000285
22,35200,0.999600,0.837276,0.761810,0.637590,0.000291
23,36800,0.999731,0.838217,0.771936,0.646876,0.000295
24,38400,0.999536,0.839350,0.773153,0.648645,0.000300
25,40000,0.999594,0.840405,0.770403,0.647188,0.000304
26,41600,0.999650,0.841353,0.771206,0.648629,0.000308
27,43200,0.999683,0.842222,0.772304,0.650246,0.000312
28,44800,0.999395,0.842588,0.778839,0.655843,0.000315
29,46400,0.999607,0.842965,0.779147,0.656536,0.000319
30,48000,0.999596,0.843387,0.774594,0.653018,0.000322
31,49600,0.899405,0.845419,0.736396,0.559936,0.000322
32,51200,0.960039,0.849218,0.562886,0.458911,0.000321
33,52800,0.774234,0.849382,0.490479,0.322549,0.000318
34,54400,0.862247,0.843137,0.521631,0.379222,0.000315
35,56000,0.947260,0.834557,0.571998,0.452189,0.000314
36,57600,0.929450,0.826760,0.642459,0.493685,0.000314
37,59200,0.990517,0.820176,0.656525,0.533360,0.000315
38,60800,0.999490,0.820729,0.755835,0.620019,0.000317
39,62400,0.999677,0.823131,0.778858,0.640895,0.000319
40,64000,0.999667,0.825456,0.778893,0.642728,0.000321
41,65600,0.999489,0.827718,0.778786,0.644285,0.000323
42,67200,0.999719,0.829774,0.781740,0.648485,0.000325
43,68800,0.999723,0.831763,0.781933,0.650203,0.000327
44,70400,0.999729,0.833678,0.782451,0.652135,0.000329
45,72000,0.999725,0.835548,0.781919,0.653151,0.000330
46,73600,0.789493,0.835665,0.698597,0.460900,0.000329
47,75200,0.903405,0.830404,0.612468,0.459468,0.000329
48,76800,0.955608,0.818396,0.559366,0.437461,0.000327
49,78400,0.999648,0.813008,0.688498,0.559558,0.000328
50,80000,0.998507,0.810821,0.727674,0.589132,0.000329
1,1600,0.833859,0.890430,0.018820,0.013973,0.000009
2,3200,0.720602,0.890921,0.007981,0.005124,0.000006
3,4800,0.603079,0.891547,0.009274,0.004986,0.000005
4,6400,0.522666,0.892194,0.007664,0.003574,0.000004
5,8000,0.976710,0.886920,0.392346,0.339875,0.000046
6,9600,0.999774,0.885025,0.724804,0.641324,0.000105
1,1600,0.849503,0.890429,0.018238,0.013796,0.000009
2,3200,0.846745,0.890962,0.008370,0.006314,0.000006
3,4800,0.775079,0.891444,0.008357,0.005774,0.000005
4,6400,0.697354,0.891460,0.006641,0.004129,0.000005
5,8000,0.933483,0.881817,0.436045,0.358935,0.000049
6,9600,0.999702,0.878999,0.724644,0.636772,0.000107
7,11200,0.999824,0.879208,0.771987,0.678618,0.000152
8,12800,0.999709,0.879364,0.778464,0.684353,0.000187
9,14400,0.933387,0.878394,0.728572,0.597342,0.000207
10,16000,0.950199,0.870666,0.506072,0.418676,0.000213
11,17600,0.993121,0.859729,0.549767,0.469399,0.000220
