1,320,0.000000,0.000000,0.000000,0.000000,0.000000
2,640,0.997949,0.892613,0.069072,0.061528,0.000191
3,960,0.993900,0.893074,0.065159,0.057837,0.000246
4,1280,0.995353,0.893529,0.069610,0.061910,0.000280
5,1600,0.999924,0.893584,0.069572,0.062164,0.000302
6,1920,0.997682,0.893425,0.072226,0.064379,0.000318
7,2240,0.998056,0.893166,0.072353,0.064497,0.000330
8,2560,0.999456,0.892980,0.073708,0.065784,0.000340
9,2880,0.999692,0.892867,0.074252,0.066276,0.000347
10,3200,0.998993,0.892745,0.073747,0.065771,0.000353
11,3520,0.999080,0.892621,0.073499,0.065546,0.000358
12,3840,0.999831,0.892667,0.071403,0.063729,0.000362
13,4160,0.999174,0.892636,0.074340,0.066303,0.000366
14,4480,0.998053,0.892812,0.076155,0.067860,0.000369
15,4800,0.997106,0.893182,0.073432,0.065398,0.000371
16,5120,0.999119,0.893475,0.077196,0.068912,0.000374
17,5440,0.998545,0.893682,0.074282,0.066288,0.000377
18,5760,0.998302,0.893946,0.073700,0.065772,0.000379
19,6080,0.996940,0.894304,0.070302,0.062679,0.000380
20,6400,0.999811,0.894389,0.072720,0.065028,0.000381
21,6720,0.999219,0.894292,0.073828,0.065972,0.000383
22,7040,0.999351,0.894232,0.074560,0.066631,0.000384
23,7360,0.998848,0.894406,0.072305,0.064596,0.000384
24,7680,0.999488,0.894402,0.070810,0.063300,0.000384
25,8000,0.998942,0.894269,0.074437,0.066496,0.000384
26,8320,0.999371,0.894342,0.074412,0.066508,0.000385
27,8640,0.999425,0.894469,0.072671,0.064965,0.000385
28,8960,0.999103,0.894634,0.072293,0.064617,0.000386
29,9280,0.999368,0.894534,0.071466,0.063889,0.000386
30,9600,0.999214,0.894533,0.073563,0.065753,0.000387
31,9920,0.999312,0.894447,0.075826,0.067776,0.000388
32,10240,0.999102,0.894433,0.076139,0.068040,0.000389
33,10560,0.997863,0.894663,0.074026,0.066087,0.000389
34,10880,0.997951,0.894597,0.073059,0.065224,0.000390
35,11200,0.999765,0.894512,0.076759,0.068646,0.000390
36,11520,0.998116,0.894723,0.069711,0.062255,0.000390
37,11840,0.999221,0.894806,0.073787,0.065974,0.000390
38,12160,0.999683,0.894758,0.077673,0.069477,0.000391
39,12480,0.998502,0.895062,0.070892,0.063358,0.000391
40,12800,0.998105,0.895343,0.072342,0.064648,0.000391
41,13120,0.997156,0.895548,0.071413,0.063772,0.000391
42,13440,0.999797,0.895724,0.073586,0.065900,0.000392
43,13760,0.998890,0.895729,0.074833,0.066956,0.000392
44,14080,0.999494,0.895676,0.071882,0.064351,0.000392
45,14400,0.999369,0.895636,0.073217,0.065534,0.000393
46,14720,0.999191,0.895553,0.074999,0.067111,0.000393
47,15040,0.999750,0.895478,0.074864,0.067022,0.000393
48,15360,0.998598,0.895551,0.073566,0.065790,0.000394
49,15680,0.998425,0.895620,0.075720,0.067709,0.000394
50,16000,0.997955,0.895860,0.071096,0.063562,0.000394
51,16320,0.998044,0.896221,0.071012,0.063518,0.000394
52,16640,0.998964,0.896286,0.072487,0.064902,0.000394
53,16960,0.999127,0.896154,0.070582,0.063197,0.000394
54,17280,0.998426,0.896005,0.073740,0.065968,0.000395
55,17600,0.999210,0.896007,0.071904,0.064376,0.000395
56,17920,0.999176,0.895951,0.072981,0.065333,0.000395
57,18240,0.998149,0.895937,0.071497,0.063938,0.000395
58,18560,0.996896,0.895760,0.069666,0.062210,0.000395
59,18880,0.998737,0.895636,0.070882,0.063404,0.000396
60,19200,0.999905,0.895632,0.071570,0.064094,0.000395
61,19520,0.998169,0.895570,0.071184,0.063633,0.000395
62,19840,0.997990,0.895496,0.070345,0.062867,0.000395
63,20160,0.995112,0.895545,0.063074,0.056210,0.000395
64,20480,0.991327,0.895741,0.058867,0.052273,0.000394
65,20800,0.987666,0.896031,0.058054,0.051377,0.000393
66,21120,0.984200,0.896414,0.057488,0.050719,0.000393
67,21440,0.980824,0.896880,0.059135,0.052020,0.000392
68,21760,0.985900,0.897373,0.060855,0.053840,0.000391
69,22080,0.981378,0.897905,0.059504,0.052434,0.000391
70,22400,0.967682,0.898745,0.055496,0.048265,0.000391
71,22720,0.957062,0.899744,0.056945,0.049036,0.000390
72,23040,0.971704,0.900804,0.058242,0.050980,0.000390
73,23360,0.982879,0.901783,0.055169,0.048898,0.000390
74,23680,0.981816,0.902291,0.054767,0.048517,0.000389
75,24000,0.984183,0.902539,0.047518,0.042208,0.000388
76,24320,0.978784,0.902166,0.062228,0.054949,0.000387
77,24640,0.988872,0.902206,0.063590,0.056733,0.000386
78,24960,0.991102,0.902509,0.063413,0.056722,0.000386
79,25280,0.993275,0.902894,0.061239,0.054920,0.000385
80,25600,0.994271,0.903019,0.060133,0.053990,0.000384
81,25920,0.993097,0.903194,0.060747,0.054487,0.000383
82,26240,0.993723,0.903363,0.060914,0.054682,0.000383
83,26560,0.978008,0.903289,0.056239,0.049683,0.000382
84,26880,0.986637,0.902704,0.059266,0.052784,0.000381
85,27200,0.985723,0.901637,0.060033,0.053355,0.000381
86,27520,0.993590,0.900555,0.071529,0.064003,0.000381
87,27840,0.991888,0.899520,0.066698,0.059509,0.000380
88,28160,0.991954,0.898670,0.062190,0.055438,0.000380
89,28480,0.986825,0.898651,0.071734,0.063614,0.000380
90,28800,0.977982,0.899066,0.066700,0.058647,0.000379
91,29120,0.960229,0.899589,0.062603,0.054077,0.000379
92,29440,0.956445,0.900590,0.067992,0.058566,0.000379
93,29760,0.938536,0.902638,0.050325,0.042634,0.000378
