1,0,1.000000,0.890207,0.000000,0.000000
2,8000,0.645772,0.877747,0.928123,0.526083
3,16000,0.310399,0.872526,0.011560,0.003131
4,24000,0.391436,0.848552,0.714541,0.237338
5,32000,0.563222,0.817424,0.000000,0.000000
6,40000,0.365485,0.722394,0.027549,0.007274
1,0,1.000000,0.890207,0.000000,0.000000
2,8000,0.645772,0.877747,0.928123,0.526083
3,16000,0.310399,0.872526,0.011560,0.003131
4,24000,0.391436,0.848552,0.714541,0.237338
5,32000,0.563222,0.817424,0.000000,0.000000
6,40000,0.365485,0.722394,0.027549,0.007274
1,0,1.000000,0.890207,0.000000,0.000000
2,8000,0.645772,0.877747,0.928123,0.526083
3,16000,0.310399,0.872526,0.011560,0.003131
4,24000,0.391436,0.848552,0.714541,0.237338
5,32000,0.563222,0.817424,0.000000,0.000000
6,40000,0.365485,0.722394,0.027549,0.007274
1,0,1.000000,0.890207,0.000000,0.000000
2,8000,0.645772,0.877747,0.928123,0.526083
3,16000,0.310399,0.872526,0.011560,0.003131
4,24000,0.391436,0.848552,0.714541,0.237338
5,32000,0.563222,0.817424,0.000000,0.000000
6,40000,0.365485,0.722394,0.027549,0.007274
1,0,1.000000,0.890207,0.000000,0.000000
2,8000,0.645772,0.877747,0.928123,0.526083
1,0,1.000000,0.890207,0.000000,0.000000
2,8000,0.547598,0.866757,0.951838,0.451775
3,16000,0.711861,0.903366,0.000000,0.000000
4,24000,0.741440,0.881137,0.000000,0.000000
5,32000,0.735531,0.801592,1.272985,0.750546
6,40000,0.526176,0.781567,0.982149,0.403900
1,0,1.000000,0.890207,0.000000,0.000000
1,0,1.000000,0.890207,0.000000,0.000000
2,8000,0.943426,0.863337,1.242628,1.012114
3,16000,0.319137,0.845007,0.029640,0.007993
4,24000,0.697079,0.835880,0.625190,0.364282
5,32000,0.168470,0.699008,1.018951,0.119993
6,40000,0.233983,0.592308,1.302716,0.180544
1,0,1.000000,0.890207,0.000000,0.000000
1,0,1.000000,0.890207,0.000000,0.000000
2,8000,0.712882,0.862900,0.902345,0.555074
3,16000,0.285626,0.775936,0.973844,0.215831
4,24000,0.338663,0.690494,0.792150,0.185240
5,32000,0.946154,0.613150,0.675558,0.391915
6,40000,0.866528,0.563956,1.177449,0.575400
1,0,1.000000,0.890207,0.000000,0.000000
1,0,1.000000,0.890207,0.000000,0.000000
1,0,1.000000,0.890207,0.000000,0.000000
2,8000,0.645772,0.877747,0.928123,0.526083
3,16000,0.310399,0.872526,0.011560,0.003131
4,24000,0.391436,0.848552,0.714541,0.237338
5,32000,0.563222,0.817424,0.000000,0.000000
6,40000,0.365485,0.722394,0.027549,0.007274
1,0,1.000000,0.890207,0.000000,0.000000
2,8000,0.862371,0.854575,1.043110,0.768731
3,16000,0.572700,0.831670,0.000000,0.000000
4,24000,0.532021,0.799573,0.460122,0.195731
5,32000,0.392377,0.792308,0.000000,0.000000
6,40000,0.275310,0.795597,0.009300,0.002037
1,0,1.000000,0.890207,0.000000,0.000000
1,0,1.000000,0.890207,0.000000,0.000000
2,8000,0.465667,0.862207,1.227239,0.492738
3,16000,0.466050,0.839295,0.098648,0.038587
4,24000,0.503766,0.776586,0.140191,0.054845
5,32000,0.545470,0.691371,0.618664,0.233312
6,40000,0.394960,0.591332,1.416986,0.330941
1,0,1.000000,0.890207,0.000000,0.000000
2,8000,0.465667,0.862207,1.227239,0.492738
3,16000,0.466050,0.839295,0.098648,0.038587
4,24000,0.503766,0.776586,0.140191,0.054845
5,32000,0.545470,0.691371,0.618664,0.233312
6,40000,0.394960,0.591332,1.416986,0.330941
1,0,1.000000,0.890207,0.000000,0.000000
2,8000,0.465667,0.862207,1.227239,0.492738
3,16000,0.466050,0.839295,0.098648,0.038587
4,24000,0.503766,0.776586,0.140191,0.054845
5,32000,0.545470,0.691371,0.618664,0.233312
6,40000,0.394960,0.591332,1.416986,0.330941
1,0,1.000000,0.890207,0.000000,0.000000
2,8000,0.465667,0.862207,1.227239,0.492738
3,16000,0.466050,0.839295,0.098648,0.038587
4,24000,0.503766,0.776586,0.140191,0.054845
5,32000,0.545470,0.691371,0.618664,0.233312
6,40000,0.394960,0.591332,1.416986,0.330941
1,0,1.000000,0.890207,0.000000,0.000000
2,8000,0.778817,0.875146,1.358480,0.925911
3,16000,0.231869,0.860127,0.489532,0.097631
1,0,1.000000,0.890207,0.000000,0.000000
2,8000,0.778817,0.875146,1.358480,0.925911
3,16000,0.231869,0.860127,0.489532,0.097631
4,24000,0.442279,0.782570,0.644262,0.222988
5,32000,0.238041,0.704418,0.940981,0.157784
6,40000,0.379564,0.636754,1.097389,0.265227
1,0,1.000000,0.890207,0.000000,0.000000
1,0,1.000000,0.890207,0.000000,0.000000
1,0,1.000000,0.890207,0.000000,0.000000
2,8000,0.515101,0.861571,1.473838,0.654084
3,16000,0.408213,0.798019,0.271243,0.088361
4,24000,0.289724,0.748087,0.251910,0.054599
5,32000,0.345611,0.675305,0.185159,0.043215
6,40000,0.367166,0.566639,0.206954,0.043057
1,0,1.000000,0.890207,0.000000,0.000000
1,0,1.000000,0.890207,0.000000,0.000000
2,8000,0.343781,0.868311,1.727603,0.515705
3,16000,0.565932,0.885266,0.482667,0.241816
4,24000,0.915361,0.892166,0.264458,0.215970
5,32000,0.715373,0.857770,0.000000,0.000000
6,40000,0.419372,0.824205,0.281997,0.097472
1,0,1.000000,0.890207,0.000000,0.000000
1,0,1.000000,0.890207,0.000000,0.000000
2,8000,0.228487,0.839437,1.622465,0.311190
3,16000,0.203427,0.799513,1.290282,0.209855
4,24000,0.983292,0.790294,1.272711,0.989010
5,32000,0.814711,0.783597,1.687016,1.077000
6,40000,0.619607,0.704043,1.445238,0.630456
1,0,1.000000,0.890207,0.000000,0.000000
2,8000,0.228487,0.839437,1.622465,0.311190
1,0,1.000000,0.890207,0.000000,0.000000
2,8000,0.228487,0.839437,1.622465,0.311190
